,train_loss,test_loss,train_acc,test_acc
0,11974.98974609375,4337.432556152344,-5.618006366112392,-2.844957278007345
1,11973.928344726562,4337.0438232421875,-5.6174443298803425,-2.8446126034098103
2,11972.243591308594,4336.427978515625,-5.616553024002307,-2.8440665925079593
3,11969.968933105469,4335.596984863281,-5.615349022514788,-2.8433299444961326
4,11967.130554199219,4334.558532714844,-5.613846703855578,-2.8424095032159613
5,11963.745727539062,4333.322570800781,-5.612055370815765,-2.841313646070276
6,11959.8291015625,4331.9031982421875,-5.609980775146007,-2.8400556227046994
7,11955.409973144531,4330.314880371094,-5.607638654940913,-2.8386475682097045
8,11950.527893066406,4328.5704345703125,-5.605051110052974,-2.837101299527465
9,11945.224609375,4326.681335449219,-5.602240953758372,-2.8354269616995644
10,11939.54736328125,4324.664611816406,-5.599234968723173,-2.8336390987548414
11,11933.524963378906,4322.52197265625,-5.596048477971895,-2.8317395234357705
12,11927.173889160156,4320.257751464844,-5.592690185486898,-2.829732615021702
13,11920.505981445312,4317.87109375,-5.589166224937456,-2.827617011629048
14,11913.521789550781,4315.371520996094,-5.585476207923137,-2.825400911133747
15,11906.232055664062,4312.766174316406,-5.581625051471347,-2.8230914893664045
16,11898.646606445312,4310.053771972656,-5.577618279260673,-2.8206870706442873
17,11890.790771484375,4307.239929199219,-5.573469641090811,-2.818192615990699
18,11882.677185058594,4304.3289794921875,-5.569185322277184,-2.8156125094142403
19,11874.316833496094,4301.3275146484375,-5.564771578177866,-2.812951250580597
20,11865.7255859375,4298.238525390625,-5.56023667915181,-2.8102135344819583
21,11856.913757324219,4295.069274902344,-5.555585480097323,-2.8074039704328615
22,11847.888549804688,4291.823425292969,-5.550822051213327,-2.8045265613441575
23,11838.660339355469,4288.504699707031,-5.545951495771898,-2.8015847536532363
24,11829.23828125,4285.1165771484375,-5.5409785785963654,-2.798581437016251
25,11819.632995605469,4281.6629638671875,-5.535909463921325,-2.7955196489747562
26,11809.855834960938,4278.146179199219,-5.530749790913758,-2.7924021831528334
27,11799.915832519531,4274.569274902344,-5.525504101740831,-2.789231872467031
28,11789.821044921875,4270.936706542969,-5.520176638849248,-2.7860114010193904
29,11779.578796386719,4267.250183105469,-5.514771625618342,-2.7827433055640043
30,11769.196716308594,4263.512451171875,-5.509292690932407,-2.7794299302431327
31,11758.681701660156,4259.72607421875,-5.503743403978123,-2.7760736613906087
32,11748.039794921875,4255.894104003906,-5.498127171686064,-2.772676873396936
33,11737.278076171875,4252.019104003906,-5.492446938004041,-2.769241725429648
34,11726.400512695312,4248.102966308594,-5.486705757838895,-2.765770218144845
35,11715.414184570312,4244.1483154296875,-5.480906799301313,-2.762264337212212
36,11704.324584960938,4240.156188964844,-5.4750530102165085,-2.7587258221733886
37,11693.137512207031,4236.129943847656,-5.469147302752839,-2.755156419539394
38,11681.857482910156,4232.070373535156,-5.463192433157866,-2.7515578048243774
39,11670.490478515625,4227.979431152344,-5.457190944593836,-2.7479315747932667
40,11659.039489746094,4223.859313964844,-5.451145371150622,-2.7442792460229426
41,11647.511413574219,4219.711486816406,-5.445058148688549,-2.7406023531429047
42,11635.908386230469,4215.5377197265625,-5.438931521124569,-2.736902281359362
43,11624.236145019531,4211.338928222656,-5.432767593961365,-2.733180347474967
44,11612.498046875,4207.117126464844,-5.426568465664296,-2.72943779178476
45,11600.6962890625,4202.8731689453125,-5.420336075918743,-2.725675788500599
46,11588.83740234375,4198.608337402344,-5.414072281763726,-2.7218954330696796
47,11576.921936035156,4194.3245849609375,-5.407778835016068,-2.718097761927103
48,11564.954833984375,4190.02197265625,-5.401457360694426,-2.7142837262121464
49,11552.937805175781,4185.702209472656,-5.395109617291094,-2.7104543548950213
50,11540.875793457031,4181.365783691406,-5.388737150262139,-2.706610512883059
51,11528.769897460938,4177.014465332031,-5.382341360892109,-2.702753070888653
52,11516.622863769531,4172.648376464844,-5.375923704928355,-2.6988828715138746
53,11504.4384765625,4168.269226074219,-5.369485513901484,-2.6950007326130585
54,11492.217956542969,4163.876953125,-5.363027930953375,-2.6911073456068313
55,11479.963256835938,4159.473327636719,-5.35655214952828,-2.687203431591111
56,11467.677795410156,4155.0579833984375,-5.350059350282009,-2.6832897049638893
57,11455.362731933594,4150.632751464844,-5.343550650268172,-2.679366850706437
58,11443.01904296875,4146.197937011719,-5.33702706903487,-2.675435462852122
59,11430.652038574219,4141.753601074219,-5.330489646882898,-2.671496140349894
60,11418.259521484375,4137.301818847656,-5.323939331548918,-2.6675495010340815
61,11405.845764160156,4132.842041015625,-5.317376993717104,-2.6635960693729044
62,11393.411437988281,4128.375061035156,-5.31080344025774,-2.659636375340042
63,11380.958068847656,4123.901550292969,-5.304219502532443,-2.655670867002024
64,11368.487670898438,4119.422424316406,-5.297625930219695,-2.651700044152067
65,11356.000854492188,4114.937438964844,-5.291023477858533,-2.6477243475045436
66,11343.499145507812,4110.447448730469,-5.284412743852009,-2.643744134380057
67,11330.984130859375,4105.952880859375,-5.2777944495895115,-2.6397598489517886
68,11318.456481933594,4101.4539794921875,-5.271169197142965,-2.635771845570731
69,11305.917419433594,4096.951354980469,-5.264537597813101,-2.6317805340815594
70,11293.367980957031,4092.4454345703125,-5.257900193914941,-2.6277862167004984
71,11280.809814453125,4087.9365844726562,-5.2512574988777105,-2.623789217973511
72,11268.243469238281,4083.4248046875,-5.244610086162395,-2.6197898581333
73,11255.669372558594,4078.9109497070312,-5.237958496831698,-2.6157884670594016
74,11243.089538574219,4074.3952026367188,-5.231303121789823,-2.6117852894889646
75,11230.504028320312,4069.8775024414062,-5.224644455723854,-2.607780630388013
76,11217.913513183594,4065.3585815429688,-5.217982839406286,-2.6037747084303766
77,11205.319274902344,4060.8384399414062,-5.211318745719452,-2.5997677688552177
78,11192.72119140625,4056.3173217773438,-5.204652523674307,-2.5957600524976874
79,11180.12158203125,4051.7958374023438,-5.1979845804677725,-2.591751830856507
80,11167.51953125,4047.2738647460938,-5.1913152478759645,-2.5877432679838543
81,11154.915466308594,4042.7513427734375,-5.184644828695652,-2.5837345138966317
82,11142.3115234375,4038.2294311523438,-5.177973646566526,-2.5797257937107902
83,11129.707702636719,4033.7073974609375,-5.171301948009471,-2.575717292548453
84,11117.103271484375,4029.1859741210938,-5.164630086797021,-2.571709179776827
85,11104.500183105469,4024.6651000976562,-5.157958355753208,-2.5677016489396585
86,11091.899169921875,4020.1451416015625,-5.1512869671357215,-2.5636948616310242
87,11079.299682617188,4015.6259765625,-5.1446162013828935,-2.5596889078862226
88,11066.702087402344,4011.10791015625,-5.1379462172981425,-2.555683908914769
89,11054.107971191406,4006.5914916992188,-5.131277340106357,-2.5516800487487044
90,11041.516540527344,4002.076171875,-5.124609713192587,-2.547677419992359
91,11028.928588867188,3997.5623779296875,-5.117943519324159,-2.5436761706592983
92,11016.345031738281,3993.0502319335938,-5.111279021240015,-2.539676391276417
93,11003.764953613281,3988.539794921875,-5.104616403445007,-2.5356782056327867
94,10991.189697265625,3984.0316162109375,-5.097955813694725,-2.5316817419489253
95,10978.6201171875,3979.525146484375,-5.091297452643083,-2.5276871120452196
96,10966.055053710938,3975.0211791992188,-5.0846413849853045,-2.5236943795465536
97,10953.495178222656,3970.5191650390625,-5.07798778352132,-2.5197036324410007
98,10940.942016601562,3966.0197143554688,-5.071336825344882,-2.5157149704884043
99,10928.393859863281,3961.5228271484375,-5.064688616319942,-2.5117284605166597
100,10915.852661132812,3957.0282592773438,-5.05804340102856,-2.507744253233841
101,10903.317565917969,3952.5360107421875,-5.051401156308491,-2.5037623239746747
102,10890.789184570312,3948.0467529296875,-5.044761959210835,-2.499782704682977
103,10878.267944335938,3943.5604248046875,-5.0381261449894055,-2.4958055972483346
104,10865.753112792969,3939.0765991210938,-5.031493607019165,-2.4918309590973493
105,10853.246765136719,3934.5957641601562,-5.02486455051602,-2.4878588755395636
106,10840.74658203125,3930.1178588867188,-5.018239054227496,-2.483889408414692
107,10828.255187988281,3925.6431274414062,-5.011617245434695,-2.4799226488540893
108,10815.770629882812,3921.1715087890625,-5.004999138387455,-2.4759586439141237
109,10803.29443359375,3916.70263671875,-4.998384854320333,-2.471997369985952
110,10790.82681274414,3912.2374877929688,-4.991774480173533,-2.4680389756822034
111,10778.366485595703,3907.775390625,-4.985168159762869,-2.4640834884682663
112,10765.916015625,3903.3162841796875,-4.97856588439036,-2.4601309474644006
113,10753.47299194336,3898.8607177734375,-4.971967781804448,-2.4561813591917607
114,10741.039123535156,3894.4086303710938,-4.9653738892183386,-2.4522347965747002
115,10728.614807128906,3889.9605102539062,-4.958784372321286,-2.4482913326870075
116,10716.19839477539,3885.515380859375,-4.95219919670846,-2.4443509255378952
117,10703.791290283203,3881.0733642578125,-4.945618402965254,-2.440413602216684
118,10691.394104003906,3876.6356201171875,-4.939042090127653,-2.4364794462142445
119,10679.005432128906,3872.2009887695312,-4.932470314097638,-2.432548509597815
120,10666.62646484375,3867.7704467773438,-4.925903230355705,-2.4286208413356785
121,10654.257110595703,3863.3432006835938,-4.9193406949858565,-2.424696330412686
122,10641.897827148438,3858.9197387695312,-4.9127828873535355,-2.4207751576939196
123,10629.547119140625,3854.4999389648438,-4.906229733095828,-2.4168571759404207
124,10617.20639038086,3850.0838623046875,-4.899681379193429,-2.412942548762819
125,10604.876403808594,3845.6717529296875,-4.893137850695641,-2.4090312636429982
126,10592.555267333984,3841.2631225585938,-4.886599110016591,-2.4051233080570866
127,10580.244384765625,3836.8584594726562,-4.880065308128922,-2.4012187637541866
128,10567.943756103516,3832.45751953125,-4.873536436529681,-2.3973176237821985
129,10555.653289794922,3828.0606689453125,-4.8670125027309235,-2.393419898019476
130,10543.372741699219,3823.6674194335938,-4.860493540710066,-2.3895256162645655
131,10531.102294921875,3819.2787475585938,-4.853979590157516,-2.3856348274408425
132,10518.84228515625,3814.8931884765625,-4.847470691522237,-2.3817475129940213
133,10506.592315673828,3810.5119018554688,-4.840966870270654,-2.3778637167317314
134,10494.352813720703,3806.1348266601562,-4.834468224490482,-2.3739835035132417
135,10482.124145507812,3801.76171875,-4.827974654310924,-2.3701067996675964
136,10469.905395507812,3797.3923950195312,-4.821486236181159,-2.3662336542161837
137,10457.698120117188,3793.0272827148438,-4.815003002102148,-2.362364072217124
138,10445.500579833984,3788.6661376953125,-4.808524948553888,-2.3584980696511817
139,10433.313934326172,3784.3089599609375,-4.802052115827726,-2.3546356188352027
140,10421.137573242188,3779.9559936523438,-4.79558450735919,-2.350776802278391
141,10408.97201538086,3775.6068725585938,-4.7891222036327985,-2.346921611723725
142,10396.8173828125,3771.2620239257812,-4.782665173856729,-2.343070039416561
143,10384.673370361328,3766.9212036132812,-4.7762134357810035,-2.3392221074172896
144,10372.540161132812,3762.5846557617188,-4.769767025197553,-2.335377826725578
145,10360.417694091797,3758.2518920898438,-4.763325868715778,-2.3315371550892388
146,10348.306060791016,3753.9234619140625,-4.756890081549922,-2.3277001662514474
147,10336.205749511719,3749.5992431640625,-4.750459681751978,-2.32386690887784
148,10324.11587524414,3745.2791748046875,-4.74403464371134,-2.320037344639071
149,10312.036987304688,3740.9632568359375,-4.73761503591039,-2.3162115157576557
150,10299.968566894531,3736.6519775390625,-4.73120081854033,-2.3123893531970854
151,10287.911804199219,3732.343994140625,-4.724791993137082,-2.3085709065415454
152,10275.865905761719,3728.0408935546875,-4.7183886160564565,-2.3047561719296716
153,10263.8310546875,3723.7415771484375,-4.711990780897598,-2.300945235806879
154,10251.807495117188,3719.4468994140625,-4.705598424744035,-2.297138034941079
155,10239.795104980469,3715.1563720703125,-4.699211616718243,-2.2933346152964824
156,10227.793701171875,3710.8698120117188,-4.692830327898399,-2.289534936939233
157,10215.803161621094,3706.5874633789062,-4.686454540784176,-2.285739004712621
158,10203.824920654297,3702.3099975585938,-4.680084388243637,-2.2819469148082727
159,10191.85693359375,3698.036376953125,-4.673719710382698,-2.278158560639674
160,10179.90023803711,3693.7670288085938,-4.667360660692641,-2.2743740427168224
161,10167.95541381836,3689.5021362304688,-4.6610071518340135,-2.270593320949744
162,10156.021118164062,3685.2416381835938,-4.654659229216334,-2.2668164595782794
163,10144.098510742188,3680.9852905273438,-4.64831694902098,-2.263043428633428
164,10132.186737060547,3676.7333374023438,-4.641980282942208,-2.259274221628574
165,10120.28726196289,3672.4855346679688,-4.635649195044389,-2.255508835595782
166,10108.398345947266,3668.2423095703125,-4.62932382230576,-2.2517472896965245
167,10096.520812988281,3664.0033569335938,-4.623003942562223,-2.247989543310273
168,10084.655090332031,3659.7683715820312,-4.616689695566288,-2.244235604359817
169,10072.80044555664,3655.5380249023438,-4.61038106646545,-2.2404855116696463
170,10060.956573486328,3651.3118896484375,-4.604077948904813,-2.236739168240738
171,10049.124481201172,3647.0902099609375,-4.597780643621829,-2.2329967563228275
172,10037.303985595703,3642.8726806640625,-4.59148898091336,-2.2292582217503973
173,10025.494934082031,3638.6595458984375,-4.585203011855868,-2.2255235154713384
174,10013.697296142578,3634.4508666992188,-4.578922702596217,-2.2217927308060728
175,10001.91098022461,3630.246826171875,-4.572648155289889,-2.2180658373631053
176,9990.13623046875,3626.046875,-4.566379287698522,-2.2143428324163454
177,9978.373046875,3621.8515014648438,-4.560116133579825,-2.2106237094823804
178,9966.620788574219,3617.660400390625,-4.5538587515226805,-2.2069085245582185
179,9954.880950927734,3613.4736938476562,-4.547606994852942,-2.203197155254982
180,9943.152465820312,3609.2914428710938,-4.541361025157706,-2.199489740171233
181,9931.435516357422,3605.1136474609375,-4.5351208302650425,-2.1957862379672584
182,9919.729888916016,3600.9402465820312,-4.528886373558159,-2.1920866547715727
183,9908.035919189453,3596.7709350585938,-4.522657616549202,-2.1883909092682945
184,9896.35366821289,3592.6061401367188,-4.51643448504178,-2.1846990246095483
185,9884.682891845703,3588.44580078125,-4.510217240549959,-2.18101115205047
186,9873.023529052734,3584.2902221679688,-4.504005748512762,-2.177327205585594
187,9861.375732421875,3580.1387939453125,-4.497799968089601,-2.1736471420187837
188,9849.740112304688,3575.99169921875,-4.491600061141116,-2.169971063096186
189,9838.11557006836,3571.8494262695312,-4.485405941774801,-2.166298899845292
190,9826.502960205078,3567.7111206054688,-4.47921758008256,-2.1626306260343284
191,9814.902069091797,3563.5777587890625,-4.473035130503323,-2.1589663515850335
192,9803.312744140625,3559.4481201171875,-4.466858439173138,-2.155306034567993
193,9791.734832763672,3555.3236083984375,-4.460687517408988,-2.1516496434390673
194,9780.168853759766,3551.2033081054688,-4.454522457322421,-2.1479972476075258
195,9768.614318847656,3547.087890625,-4.448363134488458,-2.1443487153843077
196,9757.072143554688,3542.9762573242188,-4.442209700447305,-2.1407041710309747
197,9745.540466308594,3538.8695068359375,-4.436061979028293,-2.137063533285246
198,9734.021484375,3534.7671508789062,-4.429920217555012,-2.1334269446216045
199,9722.513946533203,3530.6688842773438,-4.423784145728487,-2.1297942181777527
200,9711.018737792969,3526.5756225585938,-4.417654032332218,-2.1261655666486137
201,9699.534088134766,3522.4867553710938,-4.411529668243841,-2.122540813955606
202,9688.061798095703,3518.4022216796875,-4.405411263208575,-2.1189200742030976
203,9676.600677490234,3514.3219604492188,-4.399298506763615,-2.1153032358803565
204,9665.15185546875,3510.246337890625,-4.393191710607594,-2.1116904012083757
205,9653.714477539062,3506.1752319335938,-4.3870906447351095,-2.108081471587706
206,9642.289367675781,3502.1084594726562,-4.38099536114332,-2.1044764965876936
207,9630.875244140625,3498.0462646484375,-4.374906071054856,-2.100875556901946
208,9619.473175048828,3493.9884643554688,-4.3688224856641185,-2.0972785171370547
209,9608.08251953125,3489.9353637695312,-4.3627447631022624,-2.0936855003827013
210,9596.704040527344,3485.8868408203125,-4.356673017250255,-2.0900965849279025
211,9585.337585449219,3481.8425903320312,-4.350607022548926,-2.08651156829533
212,9573.982208251953,3477.8029174804688,-4.344546917776224,-2.082930576010441
213,9562.638763427734,3473.7677001953125,-4.338492644505753,-2.079353589197101
214,9551.307037353516,3469.7371215820312,-4.332444175428298,-2.07578056452753
215,9539.987396240234,3465.7110595703125,-4.326401601675935,-2.0722115783628374
216,9528.678680419922,3461.6893920898438,-4.320364754787045,-2.068646525989698
217,9517.382354736328,3457.6721801757812,-4.314333777253507,-2.065085505384644
218,9506.097686767578,3453.6597290039062,-4.308308731544903,-2.0615285298442187
219,9494.824829101562,3449.6519165039062,-4.302289541632662,-2.0579755881144477
220,9483.563110351562,3445.6478881835938,-4.296276230390133,-2.054426626862789
221,9472.314178466797,3441.6491088867188,-4.290268725674419,-2.050881696364622
222,9461.076568603516,3437.6546630859375,-4.2842671017375205,-2.0473407624747737
223,9449.85092163086,3433.6647338867188,-4.278271304747978,-2.0438038400464675
224,9438.63687133789,3429.678955078125,-4.2722813792866905,-2.040270907243157
225,9427.434387207031,3425.6984252929688,-4.266297287718253,-2.036741944175421
226,9416.243408203125,3421.7218017578125,-4.2603190527984,-2.0332169888029874
227,9405.06509399414,3417.7499389648438,-4.254346633501955,-2.029696016710499
228,9393.897735595703,3413.782470703125,-4.2483800930009945,-2.0261790688441783
229,9382.74282836914,3409.8197021484375,-4.242419364987471,-2.0226661139137048
230,9371.59927368164,3405.861328125,-4.23646452091784,-2.019157170348539
231,9360.467224121094,3401.9072265625,-4.230515563930543,-2.0156523330345997
232,9349.347717285156,3397.9583129882812,-4.2245725016730855,-2.0121515449074288
233,9338.2392578125,3394.0136108398438,-4.218635328104882,-2.0086547884099915
234,9327.142822265625,3390.0736083984375,-4.212703851945263,-2.0051620028463755
235,9316.05810546875,3386.1380615234375,-4.206778356813264,-2.001673320163916
236,9304.985626220703,3382.2068481445312,-4.200858720478857,-1.9981886442891157
237,9293.924591064453,3378.2805786132812,-4.194944976466971,-1.9947079887187527
238,9282.875274658203,3374.3583374023438,-4.189037017967395,-1.9912313150858094
239,9271.837371826172,3370.44091796875,-4.183134898866258,-1.9877586572891466
240,9260.811828613281,3366.5280151367188,-4.177238735004038,-1.9842900939998107
241,9249.79849243164,3362.6200561523438,-4.171348519469397,-1.9808256052665514
242,9238.796600341797,3358.7162475585938,-4.165464211345639,-1.9773651366648624
243,9227.806915283203,3354.817138671875,-4.159585945909983,-1.973908765278738
244,9216.829071044922,3350.922607421875,-4.153713541064118,-1.9704563752146758
245,9205.863159179688,3347.0326538085938,-4.1478471891036035,-1.967008032870544
246,9194.909088134766,3343.1473388671875,-4.141986844589145,-1.9635637689831
247,9183.967102050781,3339.2662353515625,-4.136132492084808,-1.9601234997749084
248,9173.038299560547,3335.3900756835938,-4.130284259923292,-1.956687351764494
